Episode,Avg Reward,Steps,Total Reward
1,-1.0,6,-1
2,-1.0,8,-2
3,-1.0,6,-3
4,-1.0,3,-4
5,-1.0,22,-5
6,-1.0,1,-6
7,-1.0,23,-7
8,-1.0,3,-8
9,-1.0,67,-9
10,-1.0,76,-10
11,-1.0,25,-11
12,-1.0,6,-12
13,-1.0,49,-13
14,-1.0,19,-14
15,-1.0,68,-15
16,-0.9375,100,-15
17,-0.9411764705882353,17,-16
18,-0.9444444444444444,25,-17
19,-0.9473684210526315,14,-18
20,-0.95,19,-19
21,-0.9523809523809523,16,-20
22,-0.9545454545454546,66,-21
23,-0.9565217391304348,9,-22
24,-0.9583333333333334,38,-23
25,-0.96,4,-24
26,-0.9615384615384616,24,-25
27,-0.9629629629629629,1,-26
28,-0.9642857142857143,7,-27
29,-0.9655172413793104,36,-28
30,-0.9666666666666667,61,-29
31,-0.967741935483871,47,-30
32,-0.96875,3,-31
33,-0.9696969696969697,2,-32
34,-0.9705882352941176,95,-33
35,-0.9714285714285714,40,-34
36,-0.9722222222222222,7,-35
37,-0.972972972972973,20,-36
38,-0.9736842105263158,10,-37
39,-0.9743589743589743,27,-38
40,-0.975,83,-39
41,-0.975609756097561,20,-40
42,-0.9523809523809523,100,-40
43,-0.9534883720930233,5,-41
44,-0.9318181818181818,100,-41
45,-0.9111111111111111,100,-41
46,-0.8913043478260869,100,-41
47,-0.8936170212765957,72,-42
48,-0.875,100,-42
49,-0.8775510204081632,45,-43
50,-0.88,1,-44
51,-0.8627450980392157,100,-44
52,-0.8653846153846154,69,-45
53,-0.8679245283018868,21,-46
54,-0.8518518518518519,100,-46
55,-0.8363636363636363,100,-46
56,-0.8392857142857143,35,-47
57,-0.8245614035087719,100,-47
58,-0.8275862068965517,73,-48
59,-0.8305084745762712,17,-49
60,-0.8166666666666667,100,-49
61,-0.8032786885245902,100,-49
62,-0.8064516129032258,52,-50
63,-0.8095238095238095,51,-51
64,-0.8125,65,-52
65,-0.8,100,-52
66,-0.803030303030303,15,-53
67,-0.7910447761194029,100,-53
68,-0.7794117647058824,100,-53
69,-0.7681159420289855,100,-53
70,-0.7571428571428571,100,-53
71,-0.7464788732394366,100,-53
72,-0.7361111111111112,100,-53
73,-0.726027397260274,100,-53
74,-0.7162162162162162,100,-53
75,-0.7066666666666667,100,-53
76,-0.6973684210526315,100,-53
77,-0.6883116883116883,100,-53
78,-0.6794871794871795,100,-53
79,-0.6708860759493671,100,-53
80,-0.6625,100,-53
81,-0.6666666666666666,55,-54
82,-0.6585365853658537,100,-54
83,-0.6626506024096386,38,-55
