Episode,Avg Reward,Steps,Total Reward
1,-1.0,1,-1
2,-1.0,4,-2
3,-1.0,3,-3
4,-1.0,2,-4
5,-1.0,4,-5
6,-1.0,15,-6
7,-1.0,3,-7
8,-1.0,3,-8
9,-1.0,35,-9
10,-1.0,3,-10
11,-1.0,3,-11
12,-1.0,1,-12
13,-1.0,1,-13
14,-1.0,6,-14
15,-1.0,2,-15
16,-1.0,11,-16
17,-1.0,1,-17
18,-1.0,39,-18
19,-1.0,10,-19
20,-1.0,7,-20
21,-1.0,11,-21
22,-1.0,11,-22
23,-1.0,28,-23
24,-1.0,56,-24
25,-1.0,16,-25
26,-1.0,28,-26
27,-1.0,30,-27
28,-1.0,8,-28
29,-1.0,1,-29
30,-1.0,19,-30
31,-1.0,30,-31
32,-1.0,5,-32
33,-1.0,1,-33
34,-1.0,20,-34
35,-1.0,59,-35
36,-1.0,4,-36
37,-1.0,8,-37
38,-1.0,23,-38
39,-1.0,37,-39
40,-1.0,21,-40
41,-1.0,28,-41
42,-1.0,5,-42
43,-1.0,12,-43
44,-1.0,11,-44
45,-1.0,33,-45
46,-1.0,4,-46
47,-1.0,6,-47
48,-1.0,32,-48
49,-1.0,6,-49
50,-1.0,2,-50
51,-1.0,2,-51
52,-1.0,11,-52
53,-1.0,32,-53
54,-1.0,22,-54
55,-1.0,2,-55
56,-1.0,2,-56
57,-1.0,46,-57
58,-1.0,33,-58
59,-1.0,16,-59
60,-1.0,36,-60
61,-1.0,43,-61
62,-1.0,26,-62
63,-1.0,29,-63
64,-1.0,5,-64
65,-1.0,10,-65
66,-1.0,1,-66
67,-1.0,6,-67
68,-1.0,43,-68
69,-1.0,1,-69
70,-1.0,21,-70
71,-1.0,56,-71
72,-1.0,2,-72
73,-1.0,4,-73
74,-1.0,66,-74
75,-1.0,4,-75
76,-1.0,6,-76
77,-1.0,42,-77
78,-1.0,10,-78
79,-1.0,1,-79
80,-1.0,14,-80
81,-1.0,9,-81
82,-1.0,60,-82
83,-1.0,18,-83
84,-1.0,8,-84
85,-1.0,1,-85
86,-1.0,4,-86
87,-1.0,3,-87
88,-1.0,3,-88
89,-1.0,4,-89
90,-1.0,20,-90
91,-1.0,28,-91
92,-1.0,31,-92
93,-1.0,31,-93
94,-1.0,1,-94
95,-1.0,1,-95
96,-1.0,30,-96
97,-1.0,50,-97
98,-1.0,1,-98
99,-1.0,36,-99
100,-1.0,21,-100
101,-1.0,4,-101
102,-1.0,20,-102
103,-1.0,39,-103
104,-1.0,14,-104
105,-1.0,30,-105
106,-1.0,12,-106
107,-1.0,24,-107
108,-1.0,1,-108
109,-1.0,33,-109
110,-1.0,85,-110
111,-1.0,1,-111
112,-1.0,7,-112
113,-1.0,26,-113
114,-1.0,43,-114
115,-1.0,26,-115
116,-1.0,9,-116
117,-1.0,35,-117
118,-1.0,40,-118
119,-1.0,1,-119
120,-1.0,31,-120
121,-1.0,13,-121
122,-1.0,16,-122
123,-1.0,14,-123
124,-1.0,69,-124
125,-1.0,58,-125
126,-1.0,21,-126
127,-0.9921259842519685,100,-126
128,-0.9921875,19,-127
129,-0.9922480620155039,11,-128
130,-0.9923076923076923,25,-129
131,-0.9923664122137404,31,-130
132,-0.9924242424242424,86,-131
133,-0.9924812030075187,23,-132
134,-0.9925373134328358,55,-133
135,-0.9925925925925926,6,-134
136,-0.9926470588235294,95,-135
137,-0.9927007299270073,20,-136
138,-0.9927536231884058,58,-137
139,-0.9928057553956835,47,-138
