Episode,Avg Reward,Steps,Total Reward
1,-1.0,1,-1
2,-1.0,18,-2
3,-1.0,5,-3
4,-1.0,40,-4
5,-1.0,23,-5
6,-1.0,2,-6
7,-1.0,1,-7
8,-1.0,10,-8
9,-1.0,13,-9
10,-1.0,17,-10
11,-1.0,5,-11
12,-1.0,20,-12
13,-1.0,4,-13
14,-1.0,10,-14
15,-1.0,3,-15
16,-1.0,7,-16
17,-1.0,3,-17
18,-1.0,4,-18
19,-1.0,4,-19
20,-1.0,19,-20
21,-1.0,1,-21
22,-1.0,13,-22
23,-1.0,4,-23
24,-1.0,35,-24
25,-1.0,26,-25
26,-1.0,36,-26
27,-1.0,5,-27
28,-1.0,12,-28
29,-1.0,26,-29
30,-1.0,26,-30
31,-1.0,27,-31
32,-1.0,36,-32
33,-1.0,37,-33
34,-1.0,58,-34
35,-1.0,20,-35
36,-1.0,19,-36
37,-1.0,8,-37
38,-1.0,18,-38
39,-1.0,16,-39
40,-1.0,13,-40
41,-1.0,8,-41
42,-1.0,9,-42
43,-1.0,1,-43
44,-1.0,18,-44
45,-1.0,21,-45
46,-1.0,9,-46
47,-1.0,9,-47
48,-1.0,12,-48
49,-1.0,33,-49
50,-1.0,57,-50
51,-1.0,13,-51
52,-1.0,22,-52
53,-1.0,9,-53
54,-1.0,23,-54
55,-1.0,44,-55
56,-1.0,21,-56
57,-1.0,24,-57
58,-1.0,48,-58
59,-1.0,8,-59
60,-1.0,36,-60
61,-1.0,25,-61
62,-1.0,15,-62
63,-1.0,15,-63
64,-1.0,26,-64
65,-1.0,13,-65
66,-1.0,27,-66
67,-1.0,22,-67
68,-1.0,7,-68
69,-1.0,51,-69
70,-1.0,25,-70
71,-1.0,12,-71
72,-1.0,10,-72
73,-1.0,7,-73
74,-1.0,8,-74
75,-1.0,18,-75
76,-1.0,55,-76
77,-1.0,13,-77
78,-1.0,7,-78
79,-1.0,15,-79
80,-1.0,35,-80
81,-1.0,9,-81
82,-1.0,10,-82
83,-1.0,38,-83
84,-1.0,36,-84
85,-1.0,2,-85
86,-1.0,29,-86
87,-1.0,45,-87
88,-1.0,18,-88
89,-1.0,2,-89
90,-1.0,44,-90
91,-1.0,23,-91
92,-1.0,59,-92
93,-1.0,27,-93
94,-1.0,34,-94
95,-1.0,33,-95
96,-1.0,1,-96
97,-1.0,7,-97
98,-1.0,48,-98
99,-1.0,12,-99
100,-1.0,7,-100
101,-1.0,9,-101
102,-0.9901960784313726,100,-101
103,-0.9902912621359223,45,-102
104,-0.9903846153846154,50,-103
105,-0.9904761904761905,35,-104
106,-0.9905660377358491,12,-105
107,-0.9906542056074766,55,-106
108,-0.9907407407407407,4,-107
109,-0.9908256880733946,29,-108
110,-0.990909090909091,82,-109
111,-0.990990990990991,35,-110
112,-0.9910714285714286,74,-111
113,-0.9911504424778761,13,-112
114,-0.9824561403508771,100,-112
115,-0.9826086956521739,26,-113
116,-0.9827586206896551,29,-114
117,-0.9829059829059829,21,-115
118,-0.9830508474576272,19,-116
119,-0.9831932773109243,3,-117
120,-0.9833333333333333,1,-118
121,-0.9834710743801653,20,-119
122,-0.9836065573770492,33,-120
123,-0.983739837398374,17,-121
124,-0.9838709677419355,40,-122
125,-0.984,29,-123
126,-0.9841269841269841,33,-124
127,-0.984251968503937,52,-125
128,-0.984375,4,-126
129,-0.9844961240310077,8,-127
130,-0.9846153846153847,52,-128
131,-0.9847328244274809,49,-129
132,-0.9848484848484849,8,-130
133,-0.9849624060150376,10,-131
134,-0.9850746268656716,2,-132
135,-0.9851851851851852,9,-133
136,-0.9852941176470589,31,-134
137,-0.9854014598540146,48,-135
138,-0.9855072463768116,10,-136
139,-0.9856115107913669,17,-137
140,-0.9857142857142858,8,-138
141,-0.9858156028368794,19,-139
142,-0.9859154929577465,23,-140
143,-0.986013986013986,65,-141
144,-0.9861111111111112,6,-142
145,-0.9862068965517241,36,-143
146,-0.9863013698630136,27,-144
147,-0.9863945578231292,3,-145
148,-0.9864864864864865,8,-146
149,-0.9798657718120806,100,-146
150,-0.98,21,-147
151,-0.9801324503311258,48,-148
152,-0.9802631578947368,9,-149
153,-0.9803921568627451,43,-150
154,-0.9805194805194806,36,-151
155,-0.9806451612903225,70,-152
156,-0.9807692307692307,80,-153
157,-0.9808917197452229,16,-154
158,-0.9746835443037974,100,-154
159,-0.9748427672955975,14,-155
160,-0.96875,100,-155
161,-0.968944099378882,87,-156
162,-0.9691358024691358,23,-157
163,-0.9693251533742331,31,-158
164,-0.9695121951219512,49,-159
165,-0.9696969696969697,29,-160
166,-0.9698795180722891,42,-161
167,-0.9700598802395209,16,-162
168,-0.9642857142857143,100,-162
169,-0.9644970414201184,12,-163
170,-0.9647058823529412,77,-164
171,-0.9649122807017544,15,-165
172,-0.9651162790697675,3,-166
173,-0.9653179190751445,9,-167
174,-0.9597701149425287,100,-167
175,-0.96,3,-168
176,-0.9602272727272727,18,-169
177,-0.96045197740113,35,-170
178,-0.9606741573033708,32,-171
179,-0.9608938547486033,17,-172
180,-0.9611111111111111,1,-173
181,-0.9613259668508287,35,-174
182,-0.9615384615384616,21,-175
183,-0.9617486338797814,16,-176
184,-0.9619565217391305,7,-177
185,-0.9567567567567568,100,-177
186,-0.956989247311828,6,-178
187,-0.9572192513368984,3,-179
188,-0.9574468085106383,11,-180
189,-0.9576719576719577,19,-181
190,-0.9578947368421052,21,-182
191,-0.9581151832460733,40,-183
192,-0.9583333333333334,5,-184
193,-0.9533678756476683,100,-184
194,-0.9536082474226805,6,-185
195,-0.9538461538461539,23,-186
196,-0.9540816326530612,6,-187
197,-0.9543147208121827,15,-188
198,-0.9545454545454546,16,-189
199,-0.9547738693467337,83,-190
200,-0.955,51,-191
201,-0.9502487562189055,100,-191
202,-0.9504950495049505,1,-192
203,-0.9507389162561576,23,-193
204,-0.9509803921568627,93,-194
205,-0.9512195121951219,15,-195
206,-0.9514563106796117,64,-196
207,-0.9516908212560387,50,-197
208,-0.9519230769230769,23,-198
209,-0.9521531100478469,36,-199
210,-0.9523809523809523,19,-200
211,-0.95260663507109,33,-201
212,-0.9528301886792453,57,-202
213,-0.9530516431924883,3,-203
214,-0.9532710280373832,1,-204
215,-0.9534883720930233,16,-205
216,-0.9537037037037037,21,-206
217,-0.9539170506912442,36,-207
218,-0.9541284403669725,59,-208
219,-0.954337899543379,3,-209
220,-0.9545454545454546,32,-210
221,-0.9547511312217195,25,-211
222,-0.954954954954955,42,-212
223,-0.9551569506726457,8,-213
224,-0.9553571428571429,6,-214
225,-0.9555555555555556,12,-215
226,-0.9557522123893806,48,-216
227,-0.9559471365638766,16,-217
228,-0.956140350877193,45,-218
229,-0.9563318777292577,37,-219
230,-0.9565217391304348,64,-220
231,-0.9567099567099567,15,-221
232,-0.9568965517241379,13,-222
233,-0.9570815450643777,1,-223
234,-0.9572649572649573,28,-224
235,-0.9574468085106383,11,-225
236,-0.9576271186440678,45,-226
237,-0.9578059071729957,25,-227
238,-0.957983193277311,4,-228
239,-0.9581589958158996,40,-229
240,-0.9541666666666667,100,-229
241,-0.9543568464730291,23,-230
242,-0.9462809917355371,75,-229
243,-0.9465020576131687,11,-230
244,-0.9467213114754098,58,-231
245,-0.9469387755102041,28,-232
246,-0.9471544715447154,7,-233
247,-0.9473684210526315,95,-234
248,-0.9475806451612904,8,-235
249,-0.9477911646586346,27,-236
250,-0.948,5,-237
251,-0.9482071713147411,1,-238
252,-0.9484126984126984,4,-239
253,-0.9446640316205533,100,-239
254,-0.9448818897637795,7,-240
255,-0.9411764705882353,100,-240
256,-0.94140625,27,-241
257,-0.9416342412451362,34,-242
258,-0.9418604651162791,19,-243
259,-0.9420849420849421,34,-244
260,-0.9423076923076923,29,-245
261,-0.9425287356321839,64,-246
262,-0.9427480916030534,47,-247
263,-0.9429657794676806,1,-248
264,-0.9431818181818182,15,-249
265,-0.9433962264150944,53,-250
266,-0.943609022556391,3,-251
267,-0.9438202247191011,16,-252
268,-0.9440298507462687,48,-253
269,-0.9442379182156134,4,-254
270,-0.9444444444444444,8,-255
271,-0.9446494464944649,11,-256
272,-0.9448529411764706,1,-257
273,-0.945054945054945,86,-258
274,-0.9452554744525548,31,-259
275,-0.9418181818181818,100,-259
276,-0.9420289855072463,1,-260
277,-0.9422382671480144,22,-261
278,-0.9424460431654677,46,-262
279,-0.942652329749104,21,-263
280,-0.9428571428571428,37,-264
281,-0.9430604982206405,68,-265
282,-0.9432624113475178,17,-266
283,-0.9434628975265018,3,-267
284,-0.9436619718309859,19,-268
285,-0.9438596491228071,33,-269
286,-0.9440559440559441,91,-270
287,-0.9442508710801394,91,-271
288,-0.9444444444444444,62,-272
289,-0.9446366782006921,29,-273
290,-0.9448275862068966,59,-274
