Episode,Avg Reward,Steps,Total Reward
1,-1.0,4,-1
2,-1.0,11,-2
3,-1.0,1,-3
4,-1.0,11,-4
5,-1.0,4,-5
6,-1.0,16,-6
7,-1.0,36,-7
8,-1.0,28,-8
9,-1.0,24,-9
10,-1.0,3,-10
11,-1.0,8,-11
12,-1.0,11,-12
13,-1.0,30,-13
14,-1.0,13,-14
15,-1.0,2,-15
16,-1.0,16,-16
17,-1.0,12,-17
18,-1.0,14,-18
19,-1.0,16,-19
20,-1.0,15,-20
21,-1.0,9,-21
22,-1.0,49,-22
23,-1.0,34,-23
24,-1.0,1,-24
25,-1.0,26,-25
26,-1.0,6,-26
27,-1.0,4,-27
28,-1.0,9,-28
29,-1.0,19,-29
30,-1.0,33,-30
31,-1.0,17,-31
32,-1.0,14,-32
33,-1.0,29,-33
34,-1.0,5,-34
35,-1.0,6,-35
36,-1.0,21,-36
37,-1.0,6,-37
38,-1.0,5,-38
39,-1.0,2,-39
40,-1.0,7,-40
41,-1.0,55,-41
42,-1.0,36,-42
43,-1.0,1,-43
44,-1.0,53,-44
45,-1.0,15,-45
46,-1.0,44,-46
47,-1.0,11,-47
48,-1.0,4,-48
49,-1.0,12,-49
50,-1.0,30,-50
51,-1.0,25,-51
52,-1.0,18,-52
53,-1.0,12,-53
54,-1.0,11,-54
55,-1.0,36,-55
56,-1.0,55,-56
57,-1.0,34,-57
58,-1.0,40,-58
59,-1.0,23,-59
60,-1.0,5,-60
61,-1.0,11,-61
62,-1.0,3,-62
63,-1.0,50,-63
64,-1.0,10,-64
65,-1.0,1,-65
66,-1.0,15,-66
67,-1.0,41,-67
68,-1.0,20,-68
69,-1.0,34,-69
70,-1.0,52,-70
71,-1.0,7,-71
72,-1.0,9,-72
73,-1.0,2,-73
74,-1.0,1,-74
75,-1.0,24,-75
76,-1.0,4,-76
77,-1.0,48,-77
78,-1.0,24,-78
79,-1.0,32,-79
80,-1.0,26,-80
81,-1.0,16,-81
82,-1.0,2,-82
83,-1.0,13,-83
84,-1.0,36,-84
85,-1.0,17,-85
86,-1.0,23,-86
87,-1.0,11,-87
88,-1.0,22,-88
89,-1.0,7,-89
90,-1.0,14,-90
91,-1.0,27,-91
92,-1.0,15,-92
93,-1.0,12,-93
94,-1.0,5,-94
95,-1.0,2,-95
96,-1.0,11,-96
97,-1.0,1,-97
98,-1.0,7,-98
99,-1.0,2,-99
100,-1.0,43,-100
101,-1.0,1,-101
102,-1.0,5,-102
103,-1.0,85,-103
104,-1.0,10,-104
105,-1.0,3,-105
106,-1.0,1,-106
107,-1.0,28,-107
108,-1.0,15,-108
109,-1.0,18,-109
110,-1.0,50,-110
111,-1.0,11,-111
112,-1.0,4,-112
113,-1.0,8,-113
114,-1.0,15,-114
115,-1.0,36,-115
116,-1.0,9,-116
117,-1.0,29,-117
118,-1.0,7,-118
119,-1.0,1,-119
120,-1.0,6,-120
121,-1.0,3,-121
122,-1.0,22,-122
123,-1.0,28,-123
124,-1.0,14,-124
125,-1.0,16,-125
126,-1.0,21,-126
127,-1.0,8,-127
128,-1.0,25,-128
129,-1.0,30,-129
130,-1.0,17,-130
131,-1.0,21,-131
132,-1.0,3,-132
133,-1.0,7,-133
134,-1.0,1,-134
135,-1.0,30,-135
136,-1.0,40,-136
137,-1.0,17,-137
138,-1.0,2,-138
139,-1.0,41,-139
140,-1.0,14,-140
141,-1.0,4,-141
142,-1.0,25,-142
143,-1.0,11,-143
144,-1.0,2,-144
145,-1.0,3,-145
146,-1.0,11,-146
147,-1.0,1,-147
148,-1.0,52,-148
149,-1.0,37,-149
150,-1.0,14,-150
151,-1.0,37,-151
152,-1.0,3,-152
153,-1.0,14,-153
154,-1.0,3,-154
155,-1.0,11,-155
156,-1.0,59,-156
157,-1.0,22,-157
158,-1.0,27,-158
159,-1.0,85,-159
160,-1.0,46,-160
161,-1.0,4,-161
162,-1.0,10,-162
163,-1.0,21,-163
164,-1.0,25,-164
165,-1.0,6,-165
166,-1.0,12,-166
167,-1.0,10,-167
168,-1.0,36,-168
169,-1.0,4,-169
170,-1.0,26,-170
171,-1.0,6,-171
172,-1.0,29,-172
173,-1.0,32,-173
174,-1.0,13,-174
175,-1.0,25,-175
176,-1.0,20,-176
177,-1.0,68,-177
178,-1.0,9,-178
179,-1.0,6,-179
180,-1.0,5,-180
181,-1.0,41,-181
182,-1.0,11,-182
183,-1.0,8,-183
184,-1.0,36,-184
185,-1.0,23,-185
186,-1.0,42,-186
187,-1.0,19,-187
188,-1.0,10,-188
189,-1.0,15,-189
190,-1.0,18,-190
191,-1.0,72,-191
192,-1.0,10,-192
193,-1.0,22,-193
194,-1.0,6,-194
195,-1.0,17,-195
196,-1.0,29,-196
197,-1.0,3,-197
198,-1.0,24,-198
199,-1.0,14,-199
200,-1.0,9,-200
201,-1.0,3,-201
202,-1.0,38,-202
203,-1.0,4,-203
204,-1.0,20,-204
205,-1.0,5,-205
206,-1.0,1,-206
207,-1.0,6,-207
208,-1.0,6,-208
209,-1.0,53,-209
210,-1.0,18,-210
211,-1.0,52,-211
212,-1.0,3,-212
213,-1.0,6,-213
214,-1.0,68,-214
215,-1.0,3,-215
216,-1.0,3,-216
217,-1.0,3,-217
218,-1.0,5,-218
219,-1.0,6,-219
220,-1.0,20,-220
221,-1.0,22,-221
222,-1.0,20,-222
223,-1.0,23,-223
224,-1.0,43,-224
225,-1.0,11,-225
226,-1.0,1,-226
227,-1.0,3,-227
228,-1.0,6,-228
229,-1.0,14,-229
230,-1.0,42,-230
231,-1.0,61,-231
232,-1.0,28,-232
233,-1.0,8,-233
234,-1.0,31,-234
235,-1.0,9,-235
236,-1.0,19,-236
237,-1.0,12,-237
238,-1.0,26,-238
239,-1.0,18,-239
240,-1.0,21,-240
241,-1.0,13,-241
242,-1.0,9,-242
243,-1.0,27,-243
244,-1.0,39,-244
245,-1.0,8,-245
246,-1.0,34,-246
247,-1.0,3,-247
248,-1.0,29,-248
249,-1.0,74,-249
250,-1.0,2,-250
251,-1.0,1,-251
252,-1.0,37,-252
253,-1.0,23,-253
254,-1.0,9,-254
255,-1.0,24,-255
256,-1.0,10,-256
257,-1.0,18,-257
258,-1.0,22,-258
259,-1.0,9,-259
260,-1.0,7,-260
261,-1.0,10,-261
262,-1.0,48,-262
263,-1.0,6,-263
264,-1.0,18,-264
265,-1.0,24,-265
266,-1.0,38,-266
267,-1.0,1,-267
268,-1.0,20,-268
269,-1.0,5,-269
270,-0.9962962962962963,100,-269
271,-0.996309963099631,1,-270
272,-0.9963235294117647,3,-271
273,-0.9963369963369964,1,-272
274,-0.9963503649635036,3,-273
275,-0.9963636363636363,11,-274
276,-0.9963768115942029,17,-275
277,-0.9963898916967509,54,-276
278,-0.9964028776978417,23,-277
279,-0.996415770609319,5,-278
280,-0.9964285714285714,6,-279
281,-0.99644128113879,38,-280
282,-0.9964539007092199,4,-281
283,-0.9964664310954063,42,-282
284,-0.9964788732394366,11,-283
285,-0.9964912280701754,12,-284
286,-0.9965034965034965,17,-285
287,-0.9965156794425087,24,-286
288,-0.9965277777777778,21,-287
289,-0.9965397923875432,5,-288
290,-0.996551724137931,12,-289
291,-0.9965635738831615,3,-290
292,-0.9965753424657534,32,-291
293,-0.9965870307167235,8,-292
294,-0.9965986394557823,14,-293
295,-0.9966101694915255,26,-294
296,-0.9966216216216216,15,-295
297,-0.9966329966329966,7,-296
298,-0.9966442953020134,67,-297
299,-0.9966555183946488,3,-298
300,-0.9966666666666667,4,-299
301,-0.9966777408637874,6,-300
302,-0.9966887417218543,20,-301
303,-0.9966996699669967,8,-302
304,-0.9967105263157895,14,-303
305,-0.9967213114754099,9,-304
306,-0.9967320261437909,1,-305
307,-0.996742671009772,5,-306
308,-0.9967532467532467,9,-307
309,-0.9967637540453075,2,-308
310,-0.9967741935483871,1,-309
311,-0.9967845659163987,10,-310
312,-0.9967948717948718,33,-311
313,-0.9968051118210862,3,-312
314,-0.9968152866242038,17,-313
315,-0.9968253968253968,4,-314
316,-0.9968354430379747,7,-315
317,-0.9968454258675079,1,-316
318,-0.9968553459119497,24,-317
319,-0.9968652037617555,1,-318
320,-0.996875,6,-319
321,-0.9968847352024922,1,-320
322,-0.9968944099378882,12,-321
323,-0.9969040247678018,2,-322
324,-0.9969135802469136,55,-323
325,-0.9969230769230769,34,-324
326,-0.9969325153374233,11,-325
327,-0.9969418960244648,5,-326
328,-0.9969512195121951,1,-327
329,-0.9969604863221885,4,-328
330,-0.996969696969697,87,-329
331,-0.9969788519637462,17,-330
332,-0.9969879518072289,20,-331
333,-0.996996996996997,8,-332
334,-0.9970059880239521,24,-333
335,-0.9970149253731343,21,-334
336,-0.9970238095238095,10,-335
337,-0.9970326409495549,6,-336
338,-0.9970414201183432,32,-337
339,-0.9970501474926253,45,-338
340,-0.9970588235294118,2,-339
341,-0.9970674486803519,13,-340
342,-0.9970760233918129,1,-341
343,-0.9970845481049563,12,-342
344,-0.997093023255814,3,-343
345,-0.9971014492753624,48,-344
346,-0.9971098265895953,28,-345
347,-0.9971181556195965,18,-346
348,-0.9971264367816092,19,-347
349,-0.997134670487106,12,-348
350,-0.9971428571428571,55,-349
351,-0.9971509971509972,2,-350
352,-0.9971590909090909,26,-351
353,-0.9971671388101983,24,-352
354,-0.9971751412429378,2,-353
355,-0.9971830985915493,10,-354
356,-0.9971910112359551,1,-355
