Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,1,-1,1e-06
2,-1.0,5,-2,3.960181e-06
3,-1.0,18,-3,4.960181e-06
4,-1.0,15,-4,5.9601810000000015e-06
5,-1.0,5,-5,6.960181000000002e-06
6,-1.0,4,-6,7.960181000000002e-06
7,-1.0,2,-7,1.2821895778100001e-05
8,-1.0,5,-8,1.952786058831581e-05
9,-1.0,12,-9,2.2488041588315808e-05
10,-1.0,7,-10,2.3488039982976812e-05
11,-1.0,6,-11,2.6448207010698735e-05
12,-1.0,27,-12,3.130991707190713e-05
13,-1.0,13,-13,3.2309915565336015e-05
14,-1.0,36,-14,3.330989415383161e-05
15,-1.0,13,-15,3.4309892731132365e-05
16,-1.0,18,-16,3.530989129669845e-05
17,-1.0,8,-17,4.3805983506991713e-05
18,-1.0,32,-18,5.403907059611857e-05
19,-1.0,68,-19,5.503807477216442e-05
20,-1.0,14,-20,5.603807349170424e-05
21,-1.0,19,-21,5.703807227384808e-05
22,-1.0,1,-22,6.894351268253836e-05
23,-1.0,19,-23,7.564947691982582e-05
24,-1.0,30,-24,7.860965672747933e-05
25,-1.0,48,-25,7.960965403517262e-05
26,-1.0,29,-26,8.256983267711437e-05
27,-1.0,9,-27,9.611806228605005e-05
28,-1.0,11,-28,9.71180612006187e-05
29,-1.0,34,-29,0.00010007775013550617
30,-1.0,21,-30,0.00010107774900978477
31,-1.0,91,-31,0.00010207774722745541
32,-1.0,12,-32,0.00010503792614722649
33,-1.0,24,-33,0.00010799777308142767
34,-1.0,36,-34,0.00010899777204137466
35,-1.0,24,-35,0.00010999731152660315
36,-1.0,6,-36,0.00011849167690288754
37,-1.0,34,-37,0.00013362422165066857
38,-1.0,24,-38,0.00013848589687900966
39,-1.0,1,-39,0.00015512110784717036
40,-1.0,18,-40,0.00015612018508901057
41,-1.0,5,-41,0.00017427628227900186
42,-1.0,4,-42,0.000184507889926153
43,-1.0,29,-43,0.00018550622566906243
44,-1.0,52,-44,0.00018650622140700186
45,-1.0,3,-45,0.0001913685080355799
46,-1.0,33,-46,0.00019236848532941427
47,-1.0,15,-47,0.00019532864646772734
48,-1.0,73,-48,0.00019632862571264476
49,-1.0,57,-49,0.00019732689071832063
50,-1.0,42,-50,0.0002002869486426004
51,-1.0,12,-51,0.00020514864546247144
52,-1.0,55,-52,0.00020614541799180659
53,-1.0,51,-53,0.00020714388458089493
54,-1.0,38,-54,0.00021384981331517655
55,-1.0,2,-55,0.000233403494316428
56,-1.0,64,-56,0.00023635943411122798
57,-1.0,25,-57,0.00023931959928211318
58,-1.0,21,-58,0.00024227975852845956
59,-1.0,1,-59,0.0002632067828510488
60,-1.0,26,-60,0.00026420674498196827
61,-1.0,19,-61,0.00026520673067096935
62,-1.0,8,-62,0.000266206605558356
63,-1.0,30,-63,0.0002672065916299705
64,-1.0,23,-64,0.00027016656868220307
65,-1.0,41,-65,0.0002750282509867619
66,-1.0,3,-66,0.00027989097010111617
67,-1.0,27,-67,0.0002808908527682713
68,-1.0,27,-68,0.0002838495876387921
69,-1.0,28,-69,0.0002868083663354751
70,-1.0,11,-70,0.0002916693664028999
71,-1.0,10,-71,0.00029653014504310967
72,-1.0,77,-72,0.00029753001671749523
73,-1.0,38,-73,0.00030423467126985596
74,-1.0,1,-74,0.0003265002898544237
