Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,27,-1,0.00010000000000000002
2,-1.0,3,-2,0.00020000000000000004
3,-1.0,4,-3,0.00046100000000000004
4,-1.0,2,-4,0.0008344100000000002
5,-1.0,1,-5,0.0012826721000000001
6,-1.0,2,-6,0.0017769844010000005
7,-1.0,38,-7,0.0018769844010000005
8,-1.0,8,-8,0.002395475364810001
9,-1.0,1,-9,0.002921741245496101
10,-1.0,1,-10,0.0034436759888518426
11,-1.0,12,-11,0.0035436759888518425
12,-1.0,1,-12,0.0040525365729699924
13,-1.0,1,-13,0.004542197743905694
14,-1.0,5,-14,0.005008558980383612
15,-1.0,2,-15,0.0054490737011487255
16,-1.0,5,-16,0.005862376532264668
17,-1.0,9,-17,0.005962376532264668
18,-1.0,8,-18,0.0060623765322646685
19,-1.0,4,-19,0.006447989142035162
20,-1.0,7,-20,0.006806088940859184
21,-1.0,7,-21,0.006906088940859184
22,-1.0,2,-22,0.007237328004325571
23,-1.0,7,-23,0.007542692049510381
24,-1.0,4,-24,0.00782339128950941
25,-1.0,3,-25,0.008080776600968023
26,-1.0,9,-26,0.008316275737602961
27,-1.0,22,-27,0.008531345369195375
28,-1.0,3,-28,0.008727435568611532
29,-1.0,3,-29,0.008988435568611532
30,-1.0,1,-30,0.00916696404818229
31,-1.0,9,-31,0.00942796404818229
32,-1.0,1,-32,0.00959029799287391
33,-1.0,12,-33,0.00985129799287391
34,-1.0,1,-34,0.009998741776689498
35,-1.0,7,-35,0.010098741776689497
36,-1.0,8,-36,0.010472151776689496
37,-1.0,1,-37,0.010605939201333958
38,-1.0,1,-38,0.010727229179074427
39,-1.0,2,-39,0.010837104008444813
40,-1.0,3,-40,0.011210514008444814
41,-1.0,6,-41,0.011309979572895375
42,-1.0,5,-42,0.011758241672895376
43,-1.0,5,-43,0.012131651672895377
44,-1.0,15,-44,0.012579913772895374
45,-1.0,6,-45,0.013074226073895374
46,-1.0,1,-46,0.013164213438494823
47,-1.0,15,-47,0.013264213438494822
48,-1.0,1,-48,0.013345581435475415
49,-1.0,1,-49,0.013419119921519238
50,-1.0,1,-50,0.013485553462855317
51,-1.0,2,-51,0.013545545262214067
52,-1.0,1,-52,0.013599701187483527
53,-1.0,6,-53,0.01411819215129353
54,-1.0,3,-54,0.014167064761771781
55,-1.0,3,-55,0.014693330642457883
56,-1.0,1,-56,0.014737423136854251
57,-1.0,7,-57,0.014777193169233403
58,-1.0,21,-58,0.014813056496186795
59,-1.0,3,-59,0.015334991239542534
60,-1.0,12,-60,0.015367325175028434
61,-1.0,1,-61,0.0153964718393603
62,-1.0,1,-62,0.015422741196398566
63,-1.0,1,-63,0.015446413878636078
64,-1.0,2,-64,0.015467743803981322
65,-1.0,1,-65,0.015486960590970546
66,-1.0,14,-66,0.015747960590970545
67,-1.0,2,-67,0.015765271781145437
68,-1.0,1,-68,0.015780864878629352
69,-1.0,8,-69,0.01622912697862935
70,-1.0,8,-70,0.01624317131768935
71,-1.0,8,-71,0.01625581976941618
72,-1.0,3,-72,0.01675013207041618
73,-1.0,5,-73,0.01676152259969432
74,-1.0,3,-74,0.01728001356350432
75,-1.0,8,-75,0.01754101356350432
76,-1.0,22,-76,0.017551270647261072
77,-1.0,16,-77,0.01756050656464136
78,-1.0,4,-78,0.01756882256930298
79,-1.0,3,-79,0.017576309953504118
80,-1.0,2,-80,0.017583051013089747
81,-1.0,4,-81,0.01758911992189854
82,-1.0,1,-82,0.017594583523523652
83,-1.0,5,-83,0.017967993523523653
84,-1.0,5,-84,0.017972912047780988
85,-1.0,11,-85,0.018481772631899138
86,-1.0,1,-86,0.018486200342794468
87,-1.0,4,-87,0.01849018612424189
88,-1.0,6,-88,0.01898449842524189
89,-1.0,14,-89,0.01943276052524189
90,-1.0,28,-90,0.01995125148905189
91,-1.0,22,-91,0.02005125148905189
92,-1.0,10,-92,0.02057751736973799
93,-1.0,4,-93,0.021099452113093733
94,-1.0,17,-94,0.02119945211309373
95,-1.0,12,-95,0.02129945211309373
96,-1.0,11,-96,0.021825717993779827
97,-1.0,1,-97,0.02182930587881222
98,-1.0,6,-98,0.021832535527542447
99,-1.0,3,-99,0.021835442658682515
100,-1.0,4,-100,0.021838059439007695
101,-1.0,22,-101,0.022099059439007696
102,-1.0,3,-102,0.02260792002312585
103,-1.0,3,-103,0.0226102754188808
104,-1.0,7,-104,0.023104587719880804
105,-1.0,5,-105,0.023106707813764713
106,-1.0,2,-106,0.02310861609080084
107,-1.0,1,-107,0.023110333696091247
108,-1.0,4,-108,0.02359999486702695
109,-1.0,7,-109,0.024121929610382686
110,-1.0,3,-110,0.024123475581469947
111,-1.0,4,-111,0.02412486705777245
112,-1.0,10,-112,0.024126119469327124
113,-1.0,5,-113,0.02463498005344527
114,-1.0,17,-114,0.024636107290979235
115,-1.0,8,-115,0.02489710729097924
116,-1.0,9,-116,0.02541559825478924
117,-1.0,15,-117,0.025905259425724938
118,-1.0,1,-118,0.02590627399388466
119,-1.0,8,-119,0.026395935164820365
120,-1.0,1,-120,0.026396848320211226
121,-1.0,1,-121,0.02639767019574117
122,-1.0,13,-122,0.02649767019574117
123,-1.0,1,-123,0.02649840991261743
124,-1.0,5,-124,0.026499075681214505
