Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,2,-1,1e-06
2,-1.0,4,-2,2e-06
3,-1.0,8,-3,3e-06
4,-1.0,5,-4,4e-06
5,-1.0,2,-5,6.960116000000001e-06
6,-1.0,13,-6,7.960116e-06
7,-1.0,39,-7,1.2821573371600002e-05
8,-1.0,27,-8,1.9527058559329164e-05
9,-1.0,12,-9,2.248717329843332e-05
10,-1.0,40,-10,2.3487173298433316e-05
11,-1.0,18,-11,2.4487172062624217e-05
12,-1.0,13,-12,2.5487172062624214e-05
13,-1.0,40,-13,2.648717206262422e-05
14,-1.0,31,-14,2.748717206262422e-05
15,-1.0,17,-15,2.848717206262422e-05
16,-1.0,14,-16,2.948717206262422e-05
17,-1.0,30,-17,3.048717206262422e-05
18,-1.0,58,-18,3.148717206262422e-05
19,-1.0,9,-19,3.4447288062624214e-05
20,-1.0,61,-20,3.544728806262422e-05
21,-1.0,19,-21,3.644728806262422e-05
22,-1.0,41,-22,3.744728806262422e-05
23,-1.0,27,-23,3.8447288062624216e-05
24,-1.0,13,-24,4.140740406262422e-05
25,-1.0,5,-25,4.436752006262422e-05
26,-1.0,11,-26,4.536752006262422e-05
27,-1.0,4,-27,5.022897743422422e-05
28,-1.0,16,-28,5.5090434805824235e-05
29,-1.0,47,-29,6.179582621892982e-05
30,-0.9666666666666667,100,-29,6.179581567845637e-05
31,-0.9354838709677419,100,-29,6.179606328071051e-05
32,-0.9375,17,-30,7.02897961639551e-05
33,-0.9393939393939394,16,-31,7.12897958557011e-05
34,-0.9411764705882353,67,-32,7.228979043737366e-05
35,-0.9428571428571428,33,-33,7.328978526067545e-05
36,-0.9444444444444444,14,-34,7.428976560509234e-05
37,-0.9459459459459459,87,-35,7.724986226025697e-05
38,-0.9473684210526315,28,-36,7.824986196610765e-05
39,-0.9230769230769231,100,-36,7.824980471864363e-05
40,-0.925,48,-37,7.924980199674342e-05
41,-0.926829268292683,56,-38,8.024978183181989e-05
42,-0.9285714285714286,70,-39,8.320984718548603e-05
43,-0.9302325581395349,53,-40,8.61699628837171e-05
44,-0.9318181818181818,1,-41,9.639593993696501e-05
45,-0.9333333333333333,75,-42,9.739593715431999e-05
46,-0.9347826086956522,1,-43,0.00010930137756301025
47,-0.9361702127659575,87,-44,0.00011030136109663664
48,-0.9166666666666666,100,-44,0.00011030130969817356
49,-0.9183673469387755,50,-45,0.00011879483790366453
50,-0.92,23,-46,0.00012175495361544075
51,-0.9215686274509803,5,-47,0.0001266164107576373
52,-0.9230769230769231,52,-48,0.00012957648611953594
53,-0.9245283018867925,39,-49,0.00013443799297764724
54,-0.9074074074074074,100,-49,0.00013443797989677033
55,-0.9090909090909091,23,-50,0.0001479727642916528
56,-0.9107142857142857,49,-51,0.00015283416543769362
57,-0.9122807017543859,86,-52,0.00015953946671971669
58,-0.9137931034482759,34,-53,0.00016053946080212954
59,-0.9152542372881356,38,-54,0.00017076609906752283
60,-0.9166666666666666,49,-55,0.00017747146519901989
61,-0.9180327868852459,81,-56,0.00017847139522692408
62,-0.9193548387096774,50,-57,0.00018696476149986964
63,-0.9047619047619048,100,-57,0.00018696451971292105
64,-0.90625,41,-58,0.00019182596364637248
65,-0.9076923076923077,57,-59,0.0001947859653902795
66,-0.9090909090909091,88,-60,0.00019578589779930565
67,-0.9104477611940298,27,-61,0.00020064734325943529
68,-0.9117647058823529,5,-62,0.00021087415465769496
69,-0.8985507246376812,100,-62,0.00021087408494651884
70,-0.9,1,-63,0.0002259829273842226
71,-0.8873239436619719,100,-63,0.00022598282090459325
72,-0.875,100,-63,0.00022598270153635871
73,-0.863013698630137,100,-63,0.00022598263999293593
74,-0.8648648648648649,37,-64,0.0002289427033623155
75,-0.8533333333333334,100,-64,0.00022894264468051477
76,-0.8552631578947368,68,-65,0.00022994259613976872
77,-0.8571428571428571,53,-66,0.0002329026654909788
78,-0.8461538461538461,100,-66,0.0002329025370053664
79,-0.8481012658227848,82,-67,0.00023390251381760535
80,-0.85,53,-68,0.00023686262580848978
81,-0.8395061728395061,100,-68,0.00023686254179061997
82,-0.8292682926829268,100,-68,0.00023686246870158645
83,-0.8192771084337349,100,-68,0.00023686237987050312
84,-0.8095238095238095,100,-68,0.00023686223006548333
85,-0.8117647058823529,10,-69,0.00024356761941298573
86,-0.813953488372093,72,-70,0.0002465277318642644
87,-0.8160919540229885,79,-71,0.00024948780531512687
88,-0.8068181818181818,100,-71,0.00024948775740830844
89,-0.8089887640449438,84,-72,0.00025619330142954803
90,-0.8,100,-72,0.000256193234382271
91,-0.7912087912087912,100,-72,0.0002561931737391263
92,-0.782608695652174,100,-72,0.00025619313875829933
93,-0.7849462365591398,89,-73,0.000259153244842607
94,-0.776595744680851,100,-73,0.00025915316295171216
95,-0.7684210526315789,100,-73,0.00025915309050452144
96,-0.7604166666666666,100,-73,0.00025915293160773373
97,-0.7525773195876289,100,-73,0.0002591528988905488
98,-0.7448979591836735,100,-73,0.00025915285403803345
99,-0.7474747474747475,37,-74,0.0002676461065916051
100,-0.75,97,-75,0.000268646084836107
101,-0.7425742574257426,100,-75,0.0002686460580160498
102,-0.7352941176470589,100,-75,0.0002686459935926115
103,-0.7281553398058253,100,-75,0.0002686459324913719
104,-0.7211538461538461,100,-75,0.0002686459155009156
105,-0.7142857142857143,100,-75,0.0002686458598249306
106,-0.7075471698113207,100,-75,0.0002686458508667671
107,-0.7102803738317757,78,-76,0.0002735072723157146
108,-0.7037037037037037,100,-76,0.0002735072457630215
109,-0.7064220183486238,10,-77,0.0002783687007720685
110,-0.7,100,-77,0.00027836866452766003
111,-0.6936936936936937,100,-77,0.0002783685986462391
112,-0.6875,100,-77,0.0002783685759424728
113,-0.6814159292035398,100,-77,0.0002783685310793133
114,-0.6754385964912281,100,-77,0.0002783684953995538
115,-0.6695652173913044,100,-77,0.00027836847825423084
116,-0.6724137931034483,53,-78,0.0002950066481412307
117,-0.6752136752136753,79,-79,0.00030691294542444165
118,-0.6779661016949152,29,-80,0.0003250317073096993
119,-0.680672268907563,55,-81,0.00032603149913196906
120,-0.675,100,-81,0.0003260314972305117
121,-0.6776859504132231,60,-82,0.0003345245840042388
122,-0.6721311475409836,100,-82,0.0003345243976311433
123,-0.6666666666666666,100,-82,0.00033452414830873454
124,-0.6612903225806451,100,-82,0.000334524072071563
125,-0.656,100,-82,0.0003345238483040554
126,-0.6507936507936508,100,-82,0.0003345232098873194
127,-0.6456692913385826,100,-82,0.0003345231408497108
128,-0.640625,100,-82,0.0003345227314055114
129,-0.6356589147286822,100,-82,0.00033452255282739716
130,-0.6307692307692307,100,-82,0.0003345219296909174
131,-0.6259541984732825,100,-82,0.00033452135906366525
132,-0.6212121212121212,100,-82,0.0003345210780192745
133,-0.6240601503759399,27,-83,0.00035407207359409456
134,-0.6194029850746269,100,-83,0.0003540714946474377
135,-0.6222222222222222,65,-84,0.00035507146773501705
136,-0.6176470588235294,100,-84,0.0003550706395778381
137,-0.6204379562043796,82,-85,0.00035607061693137133
138,-0.6231884057971014,46,-86,0.0003696047605788933
139,-0.6187050359712231,100,-86,0.0003696036407278886
140,-0.6142857142857143,100,-86,0.00036960333862165023
141,-0.6099290780141844,100,-86,0.0003696027020417443
142,-0.6056338028169014,100,-86,0.000369601848949374
143,-0.6013986013986014,100,-86,0.00036960156536526757
144,-0.5972222222222222,100,-86,0.00036960153871130197
145,-0.593103448275862,100,-86,0.00036960101812907967
146,-0.589041095890411,100,-86,0.00036960077292536844
147,-0.5850340136054422,100,-86,0.000369599993737837
148,-0.581081081081081,100,-86,0.00036959998419533414
149,-0.5771812080536913,100,-86,0.00036959965798172544
150,-0.5733333333333334,100,-86,0.00036959946353816263
151,-0.5695364238410596,100,-86,0.00036959945044545987
152,-0.5723684210526315,86,-87,0.00037255938034001025
153,-0.5686274509803921,100,-87,0.0003725590602919593
154,-0.564935064935065,100,-87,0.000372559007486704
155,-0.5612903225806452,100,-87,0.0003725589532459354
156,-0.5576923076923077,100,-87,0.0003725585174983036
157,-0.554140127388535,100,-87,0.00037255850605099776
158,-0.5569620253164557,98,-88,0.00038446488537424023
159,-0.5534591194968553,100,-88,0.00038446459226852735
160,-0.55625,8,-89,0.0004054007770639724
161,-0.5527950310559007,100,-89,0.00040539981854112434
162,-0.5555555555555556,62,-90,0.0004063997740382348
163,-0.5521472392638037,100,-90,0.0004063994214856826
164,-0.5487804878048781,100,-90,0.0004063988529420718
165,-0.5515151515151515,98,-91,0.0004093589809002578
166,-0.5542168674698795,35,-92,0.0004142205995763693
167,-0.5508982035928144,100,-92,0.0004142203098760735
168,-0.5476190476190477,100,-92,0.0004142196814128521
169,-0.5443786982248521,100,-92,0.00041421962090920834
170,-0.5411764705882353,100,-92,0.0004142196107413549
171,-0.543859649122807,98,-93,0.000436498052978592
172,-0.5406976744186046,100,-93,0.000436497504575186
173,-0.5375722543352601,100,-93,0.0004364974974668595
174,-0.5344827586206896,100,-93,0.00043649745181026633
175,-0.5314285714285715,100,-93,0.0004364954789804561
176,-0.5284090909090909,100,-93,0.0004364944966657879
177,-0.5310734463276836,24,-94,0.0004431997126861113
178,-0.5337078651685393,49,-95,0.0004567344412229407
179,-0.5307262569832403,100,-95,0.00045673437649493184
180,-0.5277777777777778,100,-95,0.00045673301643759317
181,-0.5248618784530387,100,-95,0.00045673297471841156
182,-0.521978021978022,100,-95,0.0004567320820503047
183,-0.5191256830601093,100,-95,0.00045673198450156484
184,-0.5163043478260869,100,-95,0.00045673154802272316
185,-0.5135135135135135,100,-95,0.00045673148945151636
186,-0.510752688172043,100,-95,0.0004567306628542027
187,-0.5080213903743316,100,-95,0.00045672952469095335
188,-0.5053191489361702,100,-95,0.00045672914343645706
189,-0.5026455026455027,100,-95,0.00045672808484612556
190,-0.5,100,-95,0.00045672796249334157
191,-0.4973821989528796,100,-95,0.0004567275876178458
192,-0.5,3,-96,0.00046695473730214767
193,-0.49740932642487046,100,-96,0.0004669543594530227
194,-0.4948453608247423,100,-96,0.0004669543051784504
195,-0.49230769230769234,100,-96,0.00046695392415306444
