Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,7,-1,0.00010000000000000002
2,-1.0,15,-2,0.00020000000000000004
3,-1.0,13,-3,0.0003000000000000001
4,-1.0,9,-4,0.0004000000000000001
5,-1.0,29,-5,0.0005000000000000001
6,-1.0,77,-6,0.000761
7,-1.0,13,-7,0.0008610000000000001
8,-1.0,11,-8,0.0012344100000000002
9,-1.0,41,-9,0.0013344100000000003
10,-1.0,10,-10,0.0017826721000000006
11,-1.0,38,-11,0.0018826721000000006
12,-1.0,69,-12,0.0019826721000000005
13,-1.0,19,-13,0.0022436721000000004
14,-1.0,12,-14,0.002737984401000001
15,-1.0,47,-15,0.002837984401000001
16,-1.0,25,-16,0.0030989844010000005
17,-1.0,44,-17,0.0031989844010000008
18,-1.0,32,-18,0.0032989844010000006
19,-1.0,19,-19,0.0035599844010000005
20,-1.0,11,-20,0.003933394401000001
21,-1.0,23,-21,0.0040333944010000015
22,-1.0,18,-22,0.004133394401000001
23,-1.0,18,-23,0.004394394401
24,-1.0,27,-24,0.004494394401
25,-1.0,1,-25,0.0050128853648100016
26,-1.0,42,-26,0.005112885364810002
27,-1.0,26,-27,0.005212885364810001
28,-0.9642857142857143,100,-27,0.005212885364810001
29,-0.9655172413793104,61,-28,0.005661147464810001
30,-0.9666666666666667,1,-29,0.006187413345496102
31,-0.967741935483871,19,-30,0.0065608233454961026
32,-0.96875,8,-31,0.006934233345496103
33,-0.9696969696969697,23,-32,0.007195233345496102
34,-0.9705882352941176,25,-33,0.007456233345496102
35,-0.9714285714285714,9,-34,0.007904495445496103
36,-0.9722222222222222,1,-35,0.008426430188851843
37,-0.972972972972973,24,-36,0.008526430188851844
38,-0.9736842105263158,49,-37,0.008626430188851843
39,-0.9743589743589743,44,-38,0.009120742489851843
40,-0.975,12,-39,0.009639233453661845
41,-0.975609756097561,7,-40,0.010148094037779993
42,-0.9761904761904762,13,-41,0.010248094037779994
43,-0.9767441860465116,88,-42,0.010348094037779993
44,-0.9772727272727273,23,-43,0.010609094037779994
45,-0.9777777777777777,55,-44,0.010709094037779993
46,-0.9782608695652174,60,-45,0.011198755208715695
47,-0.9787234042553191,13,-46,0.011459755208715696
48,-0.9791666666666666,78,-47,0.011954067509715697
49,-0.9795918367346939,14,-48,0.012480333390401797
50,-0.98,2,-49,0.012946694626879716
51,-0.9803921568627451,20,-50,0.013465185590689715
52,-0.9807692307692307,43,-51,0.013838595590689713
53,-0.9811320754716981,24,-52,0.014279110311454825
54,-0.9814814814814815,30,-53,0.014801045054810568
55,-0.9818181818181818,10,-54,0.014901045054810567
56,-0.9821428571428571,47,-55,0.015162045054810567
57,-0.9824561403508771,42,-56,0.01526204505481057
58,-0.9827586206896551,18,-57,0.01563545505481057
59,-0.9830508474576272,17,-58,0.01614431563892872
60,-0.9666666666666667,100,-58,0.01614431563892872
61,-0.9672131147540983,14,-59,0.016517725638928716
62,-0.967741935483871,51,-60,0.01661772563892872
63,-0.9682539682539683,3,-61,0.017031028470044663
64,-0.96875,62,-62,0.017131028470044662
65,-0.9692307692307692,33,-63,0.01757929057004466
66,-0.9696969696969697,14,-64,0.01802755267004466
67,-0.9701492537313433,25,-65,0.018475814770044664
68,-0.9705882352941176,60,-66,0.018970127071044663
69,-0.9710144927536232,68,-67,0.019070127071044662
70,-0.9714285714285714,21,-68,0.019443537071044664
71,-0.971830985915493,24,-69,0.01970453707104466
72,-0.9722222222222222,59,-70,0.020077947071044662
73,-0.9726027397260274,6,-71,0.020463559680815157
74,-0.972972972972973,12,-72,0.020989825561501255
75,-0.9733333333333334,48,-73,0.021089825561501255
76,-0.9736842105263158,7,-74,0.021447925360325276
77,-0.974025974025974,42,-75,0.02154792536032528
78,-0.9743589743589743,43,-76,0.02164792536032528
79,-0.9746835443037974,37,-77,0.02209618746032528
80,-0.975,34,-78,0.022196187460325277
81,-0.9753086419753086,33,-79,0.022690499761325277
82,-0.975609756097561,31,-80,0.02295149976132528
83,-0.9759036144578314,16,-81,0.023473434504681024
84,-0.9761904761904762,13,-82,0.023734434504681018
85,-0.9764705882352941,30,-83,0.02424329508879917
86,-0.9767441860465116,36,-84,0.024343295088799174
87,-0.9770114942528736,31,-85,0.02486178605260917
88,-0.9772727272727273,99,-86,0.02512278605260917
89,-0.9775280898876404,73,-87,0.025612447223544874
90,-0.9777777777777777,22,-88,0.026078808460022786
91,-0.978021978021978,49,-89,0.026519323180787903
92,-0.9782608695652174,34,-90,0.026619323180787906
93,-0.978494623655914,51,-91,0.026992733180787907
94,-0.9787234042553191,24,-92,0.0272537331807879
95,-0.9789473684210527,31,-93,0.0275147331807879
96,-0.9791666666666666,92,-94,0.027614733180787904
97,-0.979381443298969,21,-95,0.027875733180787905
98,-0.9795918367346939,68,-96,0.027975733180787908
99,-0.9797979797979798,74,-97,0.028075733180787904
100,-0.98,62,-98,0.028175733180787903
101,-0.9801980198019802,5,-99,0.028589036011903844
102,-0.9803921568627451,58,-100,0.02896244601190385
103,-0.9805825242718447,25,-101,0.029348058621674344
104,-0.9807692307692307,28,-102,0.029796320721674343
105,-0.9809523809523809,20,-103,0.03029063302267434
106,-0.9811320754716981,24,-104,0.03073889512267434
107,-0.9813084112149533,15,-105,0.030999895122674342
108,-0.9814814814814815,1,-106,0.03133113418614073
109,-0.981651376146789,68,-107,0.03184962514995073
110,-0.9818181818181818,17,-108,0.032343937450950724
111,-0.9819819819819819,32,-109,0.03271734745095073
112,-0.9821428571428571,54,-110,0.03281734745095073
113,-0.9734513274336283,100,-110,0.03281734745095073
114,-0.9736842105263158,44,-111,0.032917347450950735
115,-0.9739130434782609,42,-112,0.03317834745095073
116,-0.9741379310344828,47,-113,0.03369683841476073
117,-0.9743589743589743,19,-114,0.03422310429544683
