Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,9,-1,1e-06
2,-1.0,3,-2,2e-06
3,-1.0,6,-3,3e-06
4,-1.0,9,-4,4e-06
5,-1.0,4,-5,5e-06
6,-1.0,16,-6,6e-06
7,-1.0,12,-7,7.000000000000001e-06
8,-1.0,7,-8,8e-06
9,-1.0,20,-9,9e-06
10,-1.0,28,-10,1e-05
11,-1.0,22,-11,1.2960200000000002e-05
12,-1.0,36,-12,1.3960200000000002e-05
13,-1.0,10,-13,1.4960200000000003e-05
14,-1.0,11,-14,1.982198804e-05
15,-1.0,18,-15,2.0821988039999998e-05
16,-1.0,26,-16,2.1821988040000002e-05
17,-1.0,16,-17,2.4782188039999998e-05
18,-1.0,53,-18,2.7742386099402e-05
19,-1.0,19,-19,2.8742386099402003e-05
20,-1.0,9,-20,2.9742386099402003e-05
21,-1.0,13,-21,3.270258609920401e-05
22,-1.0,65,-22,3.3702576278600005e-05
23,-1.0,16,-23,3.6662774298599984e-05
24,-1.0,19,-24,3.766277429859996e-05
25,-1.0,12,-25,3.8662774298599945e-05
26,-1.0,1,-26,4.536802456780094e-05
27,-1.0,23,-27,4.6368024567800926e-05
28,-1.0,26,-28,4.73680245678009e-05
29,-1.0,33,-29,4.836802266600165e-05
30,-1.0,12,-30,5.132822266600163e-05
31,-1.0,34,-31,5.619001268600161e-05
32,-1.0,31,-32,5.71900126860016e-05
33,-1.0,16,-33,5.8190012686001586e-05
34,-1.0,5,-34,6.115021268600158e-05
35,-1.0,34,-35,6.215021268600155e-05
36,-1.0,27,-36,6.701200072600154e-05
37,-1.0,15,-37,6.997220072600153e-05
38,-1.0,15,-38,7.293240072561727e-05
39,-1.0,34,-39,7.393240072522517e-05
40,-1.0,36,-40,7.493240072522517e-05
41,-1.0,15,-41,7.593240072522516e-05
42,-1.0,32,-42,7.69324007244403e-05
43,-1.0,8,-43,7.98926007244403e-05
44,-1.0,10,-44,8.089260072444027e-05
45,-1.0,79,-45,8.189259874348637e-05
46,-1.0,10,-46,8.485279874348637e-05
47,-1.0,39,-47,8.781298894191122e-05
48,-1.0,7,-48,9.077318698074075e-05
49,-1.0,45,-49,9.747989783012511e-05
50,-1.0,13,-50,0.00010234168848161632
51,-1.0,52,-51,0.00010720386701653971
52,-0.9807692307692307,100,-51,0.0001072038151446378
53,-0.9811320754716981,65,-52,0.00011390992715241822
54,-0.9629629629629629,100,-52,0.00011390990158775104
55,-0.9636363636363636,45,-53,0.00011490988084682725
56,-0.9642857142857143,16,-54,0.00012340597079129342
57,-0.9649122807017544,48,-55,0.0001263663439854708
58,-0.9482758620689655,100,-55,0.00012636630099222782
59,-0.9491525423728814,46,-56,0.00013486082458987527
60,-0.95,87,-57,0.00013586073860258078
61,-0.9508196721311475,40,-58,0.00014072250619038727
62,-0.9516129032258065,93,-59,0.0001474291488522335
63,-0.9365079365079365,100,-59,0.00014742914773477626
64,-0.9375,83,-60,0.00014842901714763653
65,-0.9230769230769231,100,-60,0.00014842900078246518
66,-0.9090909090909091,100,-60,0.00014842895036866553
67,-0.8955223880597015,100,-60,0.00014842892525053237
68,-0.8823529411764706,100,-60,0.00014842880346488732
69,-0.8840579710144928,1,-61,0.00015865478051813525
70,-0.8857142857142857,34,-62,0.00017056375084903997
71,-0.8732394366197183,100,-62,0.00017056374103370384
72,-0.8611111111111112,100,-62,0.00017056367730184613
73,-0.8493150684931506,100,-62,0.0001705636354315605
74,-0.8513513513513513,42,-63,0.00017352379617694027
75,-0.8533333333333334,32,-64,0.0001783855726865335
76,-0.8421052631578947,100,-64,0.0001783854826196471
77,-0.8441558441558441,27,-65,0.00018688148512567264
78,-0.8461538461538461,92,-66,0.00019711534650399746
79,-0.8354430379746836,100,-66,0.00019711527544029312
80,-0.8375,39,-67,0.0002106534966273393
81,-0.8395061728395061,37,-68,0.00021165348776948343
82,-0.8292682926829268,100,-68,0.00021165325370484797
83,-0.8313253012048193,15,-69,0.00021651503527805584
84,-0.8333333333333334,54,-70,0.00022322109985523133
85,-0.8352941176470589,53,-71,0.0002261811982377039
86,-0.8372093023255814,70,-72,0.00022914136318576172
87,-0.8390804597701149,50,-73,0.00023400314559609002
88,-0.8295454545454546,100,-73,0.00023400306349198035
89,-0.8202247191011236,100,-73,0.00023400303212446852
90,-0.8111111111111111,100,-73,0.00023400276394547215
91,-0.8021978021978022,100,-73,0.00023400253990946065
92,-0.7934782608695652,100,-73,0.00023400230496329198
93,-0.7849462365591398,100,-73,0.00023400222641736655
94,-0.7872340425531915,1,-74,0.00024911106885507035
95,-0.7894736842105263,46,-75,0.00025011106022638027
96,-0.78125,100,-75,0.0002501109530515197
97,-0.7835051546391752,11,-76,0.00025860656527689803
98,-0.7755102040816326,100,-76,0.00025860637925110056
99,-0.7676767676767676,100,-76,0.000258606332842417
100,-0.76,100,-76,0.00025860632497561487
101,-0.7524752475247525,100,-76,0.00025860621257157106
102,-0.7450980392156863,100,-76,0.00025860593701485093
103,-0.7475728155339806,76,-77,0.00026710037443813337
104,-0.7403846153846154,100,-77,0.00026710014608167485
105,-0.7333333333333333,100,-77,0.00026710006165375636
106,-0.7264150943396226,100,-77,0.00026710000287683504
107,-0.7289719626168224,3,-78,0.0002738072110235101
108,-0.7222222222222222,100,-78,0.0002738070582199877
109,-0.7247706422018348,49,-79,0.0002748070153840707
110,-0.7181818181818181,100,-79,0.00027480692510587434
111,-0.7117117117117117,100,-79,0.0002748067984102733
112,-0.7142857142857143,97,-80,0.00027580674092615785
113,-0.7168141592920354,85,-81,0.0002768064616144112
114,-0.7192982456140351,36,-82,0.00028166991474207984
115,-0.7217391304347827,35,-83,0.00029357985624921436
116,-0.7241379310344828,62,-84,0.00029653997300352656
117,-0.717948717948718,100,-84,0.0002965396212157592
118,-0.7203389830508474,38,-85,0.0002975395262976103
119,-0.7142857142857143,100,-85,0.00029753932261251194
120,-0.7166666666666667,67,-86,0.0003042488684296808
121,-0.7107438016528925,100,-86,0.0003042487261636941
122,-0.7049180327868853,100,-86,0.0003042486148107199
123,-0.6991869918699187,100,-86,0.0003042483202168955
124,-0.6935483870967742,100,-86,0.0003042481428578824
125,-0.688,100,-86,0.0003042480954615024
126,-0.6904761904761905,93,-87,0.00030720814746622066
127,-0.6850393700787402,100,-87,0.00030720797434196864
128,-0.6796875,100,-87,0.00030720784012733666
129,-0.6821705426356589,23,-88,0.00031570893468001784
130,-0.676923076923077,100,-88,0.00031570861792058774
131,-0.6793893129770993,82,-89,0.00032421248311373564
132,-0.6818181818181818,85,-90,0.0003271722495889909
133,-0.6766917293233082,100,-90,0.0003271718094018733
134,-0.6791044776119403,78,-91,0.00033013177563277714
135,-0.6814814814814815,13,-92,0.00034036399722798036
136,-0.6764705882352942,100,-92,0.0003403634553070902
137,-0.6788321167883211,65,-93,0.0003452248520999844
138,-0.6739130434782609,100,-93,0.00034522406112725635
139,-0.6690647482014388,100,-93,0.00034522371910976097
140,-0.6642857142857143,100,-93,0.0003452231806022058
141,-0.6666666666666666,74,-94,0.0003618731322432195
142,-0.6619718309859155,100,-94,0.0003618725596288561
143,-0.6643356643356644,28,-95,0.0003667340326623076
144,-0.6597222222222222,100,-95,0.0003667337062069477
145,-0.6620689655172414,51,-96,0.0003769625642685307
146,-0.6575342465753424,100,-96,0.00037696226290724085
147,-0.6598639455782312,24,-97,0.0003888797415863615
148,-0.6621621621621622,74,-98,0.00040079416438550445
149,-0.6577181208053692,100,-98,0.0004007933003739341
150,-0.66,96,-99,0.0004037530199120355
151,-0.6622516556291391,17,-100,0.0004218985972162474
152,-0.6644736842105263,57,-101,0.00043545071006704237
153,-0.6666666666666666,61,-102,0.0004421572754334762
154,-0.6623376623376623,100,-102,0.000442155556361254
155,-0.6580645161290323,100,-102,0.00044215438745902525
156,-0.6602564102564102,20,-103,0.0004451143664958259
157,-0.6624203821656051,34,-104,0.0004586680091615613
158,-0.6645569620253164,46,-105,0.00045966760665014204
159,-0.660377358490566,100,-105,0.00045966598253965445
160,-0.6625,51,-106,0.0004626259966299167
161,-0.6645962732919255,45,-107,0.00046362490717562796
162,-0.6666666666666666,49,-108,0.00046462469467224135
163,-0.6687116564417178,99,-109,0.00046758468655134155
164,-0.6707317073170732,48,-110,0.0004685840317608509
165,-0.6666666666666666,100,-110,0.00046858108899934243
166,-0.6686746987951807,29,-111,0.000469580886097139
167,-0.6706586826347305,33,-112,0.00048471360351247335
168,-0.6726190476190477,38,-113,0.0004857130717658831
169,-0.6745562130177515,60,-114,0.000486711037807158
170,-0.6705882352941176,100,-114,0.0004867105331516944
171,-0.672514619883041,35,-115,0.0004877100400426082
172,-0.6744186046511628,44,-116,0.0004887095581119629
173,-0.6763005780346821,64,-117,0.0004897087564658096
174,-0.6781609195402298,33,-118,0.000490708296150178
175,-0.68,75,-119,0.0005102727357972432
176,-0.6761363636363636,100,-119,0.0005102719844794204
177,-0.6779661016949152,24,-120,0.0005132317429745646
178,-0.6797752808988764,27,-121,0.0005283509084842545
179,-0.6815642458100558,63,-122,0.0005293498782859968
180,-0.6833333333333333,26,-123,0.0005303494572694245
181,-0.6850828729281768,54,-124,0.0005513017940979443
182,-0.6868131868131868,32,-125,0.000554261543755108
183,-0.6830601092896175,100,-125,0.0005542603270728294
184,-0.6793478260869565,100,-125,0.0005542596270237201
185,-0.6756756756756757,100,-125,0.0005542582952404304
186,-0.6720430107526881,100,-125,0.0005542580449237382
187,-0.6737967914438503,24,-126,0.0005591194326709473
188,-0.6702127659574468,100,-126,0.0005591187239283764
189,-0.671957671957672,97,-127,0.0005601184404865639
190,-0.6684210526315789,100,-127,0.0005601174015071552
191,-0.6701570680628273,31,-128,0.0005630773562129507
192,-0.6666666666666666,100,-128,0.0005630771114625969
193,-0.6683937823834197,13,-129,0.0005679386611620977
194,-0.6649484536082474,100,-129,0.0005679384232195314
195,-0.6666666666666666,36,-130,0.0005708982454525138
196,-0.6683673469387755,26,-131,0.0005757583911821094
197,-0.6700507614213198,57,-132,0.0005767581258802177
198,-0.6717171717171717,67,-133,0.0005777577658880717
199,-0.6683417085427136,100,-133,0.0005777574950521416
200,-0.67,49,-134,0.0005807171673282873
201,-0.6716417910447762,98,-135,0.0005836770168042476
202,-0.6732673267326733,27,-136,0.0005885385010270801
203,-0.6699507389162561,100,-136,0.0005885382603480176
204,-0.6666666666666666,100,-136,0.0005885380294821962
205,-0.6682926829268293,41,-137,0.0005914978112277563
206,-0.6699029126213593,1,-138,0.000613763429812324
207,-0.6714975845410628,94,-139,0.0006167232467467277
208,-0.6730769230769231,62,-140,0.0006234291857413838
209,-0.6698564593301436,100,-140,0.0006234282689395593
210,-0.6714285714285714,63,-141,0.0006319253274120497
211,-0.6682464454976303,100,-141,0.0006319250924175018
212,-0.6698113207547169,74,-142,0.0006386294637034572
213,-0.6619718309859155,90,-141,0.0006396289889573717
214,-0.6588785046728972,100,-141,0.0006396287553375895
215,-0.6604651162790698,13,-142,0.0006562953581113989
216,-0.6620370370370371,20,-143,0.0006630009280064782
217,-0.663594470046083,88,-144,0.0006640002652735432
218,-0.6605504587155964,100,-144,0.0006639997886214047
219,-0.6529680365296804,75,-143,0.000666959450684355
220,-0.65,100,-143,0.0006669590174146378
221,-0.6425339366515838,81,-142,0.0006718206700285012
222,-0.6441441441441441,75,-143,0.0006766846104941936
223,-0.6457399103139013,50,-144,0.0006796442719920224
224,-0.6428571428571429,100,-144,0.0006796428778590136
225,-0.64,100,-144,0.0006796422946266891
226,-0.6371681415929203,100,-144,0.0006796417885236479
227,-0.6343612334801763,100,-144,0.0006796411945314579
228,-0.631578947368421,100,-144,0.0006796408394404968
229,-0.62882096069869,100,-144,0.0006796404758958223
230,-0.6304347826086957,58,-145,0.0006863518779235927
