Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,3,-1,1e-08
2,-1.0,4,-2,2e-08
3,-1.0,4,-3,3.0000000000000004e-08
4,-1.0,31,-4,4e-08
5,-1.0,15,-5,5e-08
6,-1.0,8,-6,6e-08
7,-1.0,15,-7,7e-08
8,-1.0,1,-8,9.996001e-08
9,-1.0,9,-9,1.498201823076181e-07
10,-1.0,29,-10,1.598201822429938e-07
11,-1.0,11,-11,1.698201822429938e-07
12,-1.0,9,-12,1.9978020034299378e-07
13,-1.0,13,-13,2.097802003429938e-07
14,-1.0,5,-14,2.1978020034299383e-07
15,-1.0,26,-15,2.497402183784202e-07
16,-1.0,25,-16,2.5974021837842014e-07
17,-1.0,1,-17,3.2944074787869014e-07
18,-1.0,15,-18,3.3944074786250484e-07
19,-1.0,28,-19,3.494407478625048e-07
20,-1.0,7,-20,3.794007659625048e-07
21,-1.0,11,-21,4.292609705730346e-07
22,-1.0,8,-22,5.187424178466037e-07
23,-1.0,33,-23,5.287424175884663e-07
24,-1.0,21,-24,5.387424175884663e-07
25,-1.0,6,-25,5.487424175884662e-07
26,-1.0,3,-26,5.787024356885054e-07
27,-1.0,13,-27,6.086624536432852e-07
28,-1.0,49,-28,6.186624533699825e-07
29,-1.0,10,-29,6.486224714539835e-07
30,-1.0,82,-30,6.586224712934693e-07
31,-1.0,18,-31,6.885824892493263e-07
32,-1.0,7,-32,6.985824891688343e-07
33,-1.0,37,-33,7.682830910238057e-07
34,-1.0,25,-34,8.181432631231036e-07
35,-1.0,15,-35,9.273461098109834e-07
36,-1.0,50,-36,9.373461094122507e-07
37,-1.0,24,-37,9.47346109253603e-07
38,-1.0,22,-38,9.773061270840266e-07
39,-0.9743589743589743,100,-38,9.77306126105538e-07
40,-0.975,38,-39,1.007266143798417e-06
41,-0.975609756097561,72,-40,1.0172661433927794e-06
42,-0.9761904761904762,75,-41,1.027266143377596e-06
43,-0.9534883720930233,100,-41,1.0272661433624058e-06
44,-0.9545454545454546,58,-42,1.0372661433473372e-06
45,-0.9555555555555556,31,-43,1.047266143083322e-06
46,-0.9565217391304348,13,-44,1.0772261611045736e-06
47,-0.9574468085106383,58,-45,1.107186195341142e-06
48,-0.9583333333333334,56,-46,1.1570463673389646e-06
49,-0.9591836734693877,14,-47,1.187006385424186e-06
50,-0.94,100,-47,1.1870063846373608e-06
51,-0.9215686274509803,100,-47,1.1870063837393566e-06
52,-0.9038461538461539,100,-47,1.1870063834657303e-06
53,-0.8867924528301887,100,-47,1.1870063834509864e-06
54,-0.8888888888888888,67,-48,1.2368665557441302e-06
55,-0.8727272727272727,100,-48,1.236866555214703e-06
