Episode,Avg Reward,Steps,Total Reward
1,-1.0,1,-1
2,-1.0,10,-2
3,-1.0,4,-3
4,-1.0,15,-4
5,-1.0,13,-5
6,-1.0,3,-6
7,-1.0,28,-7
8,-1.0,5,-8
9,-1.0,1,-9
10,-1.0,2,-10
11,-1.0,8,-11
12,-1.0,8,-12
13,-1.0,31,-13
14,-1.0,9,-14
15,-1.0,25,-15
16,-1.0,23,-16
17,-1.0,29,-17
18,-1.0,5,-18
19,-1.0,23,-19
20,-1.0,43,-20
21,-1.0,13,-21
22,-1.0,6,-22
23,-1.0,17,-23
24,-1.0,11,-24
25,-1.0,34,-25
26,-1.0,6,-26
27,-1.0,21,-27
28,-1.0,20,-28
29,-1.0,24,-29
30,-1.0,17,-30
31,-1.0,6,-31
32,-1.0,11,-32
33,-1.0,13,-33
34,-1.0,13,-34
35,-1.0,61,-35
36,-1.0,1,-36
37,-1.0,1,-37
38,-1.0,19,-38
39,-1.0,15,-39
40,-1.0,4,-40
41,-1.0,7,-41
42,-1.0,22,-42
43,-1.0,44,-43
44,-1.0,16,-44
45,-0.9777777777777777,100,-44
46,-0.9782608695652174,37,-45
47,-0.9787234042553191,63,-46
48,-0.9791666666666666,3,-47
49,-0.9795918367346939,1,-48
50,-0.98,5,-49
51,-0.9803921568627451,11,-50
52,-0.9807692307692307,2,-51
53,-0.9811320754716981,5,-52
54,-0.9814814814814815,13,-53
55,-0.9818181818181818,33,-54
56,-0.9821428571428571,29,-55
57,-0.9824561403508771,3,-56
58,-0.9827586206896551,20,-57
59,-0.9830508474576272,20,-58
60,-0.9833333333333333,31,-59
61,-0.9836065573770492,27,-60
62,-0.9838709677419355,21,-61
63,-0.9841269841269841,29,-62
64,-0.984375,14,-63
65,-0.9846153846153847,7,-64
66,-0.9848484848484849,2,-65
67,-0.9850746268656716,19,-66
68,-0.9852941176470589,33,-67
69,-0.9855072463768116,38,-68
70,-0.9857142857142858,4,-69
71,-0.9859154929577465,9,-70
72,-0.9861111111111112,13,-71
73,-0.9863013698630136,24,-72
74,-0.9864864864864865,7,-73
75,-0.9866666666666667,4,-74
76,-0.9868421052631579,10,-75
77,-0.987012987012987,21,-76
78,-0.9871794871794872,31,-77
79,-0.9873417721518988,5,-78
80,-0.9875,8,-79
81,-0.9876543209876543,15,-80
82,-0.9878048780487805,1,-81
83,-0.9879518072289156,11,-82
84,-0.9880952380952381,5,-83
85,-0.9882352941176471,1,-84
86,-0.9883720930232558,13,-85
87,-0.9885057471264368,34,-86
88,-0.9886363636363636,59,-87
89,-0.9887640449438202,49,-88
90,-0.9888888888888889,2,-89
91,-0.989010989010989,31,-90
92,-0.9891304347826086,8,-91
93,-0.989247311827957,8,-92
94,-0.9893617021276596,2,-93
95,-0.9894736842105263,13,-94
96,-0.9791666666666666,100,-94
