Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,4,-1,6.25e-06
2,-1.0,13,-2,1.25e-05
3,-1.0,3,-3,1.8750000000000002e-05
4,-1.0,16,-4,2.5e-05
5,-1.0,18,-5,4.3501131250000007e-05
6,-0.6666666666666666,49,-4,4.975113125e-05
7,-0.7142857142857143,4,-5,6.82522625e-05
8,-0.5,10,-4,8.675339375e-05
9,-0.3333333333333333,22,-3,0.00011714106602503904
10,-0.2,11,-2,0.0001590621000246438
11,-0.2727272727272727,5,-3,0.00016531210002464382
12,-0.16666666666666666,12,-2,0.00021842425425504052
13,-0.23076923076923078,22,-3,0.00023692538550504057
14,-0.14285714285714285,7,-2,0.0003008489455432359
15,-0.06666666666666667,16,-1,0.0003753032912791076
16,0.0,6,0,0.0004599704745396118
17,0.058823529411764705,6,1,0.000554554842850583
18,0.1111111111111111,7,2,0.00065876432858209
19,0.15789473684210525,6,3,0.0007723158428428883
20,0.2,10,4,0.0008949349835660314
21,0.23809523809523808,6,5,0.001026355753404609
22,0.2727272727272727,12,6,0.0011662742910676775
23,0.30434782608695654,10,7,0.0013145253606364818
24,0.3333333333333333,6,8,0.0014708274986869445
25,0.36,6,9,0.0016349457100298533
26,0.38461538461538464,6,10,0.0018066521286075896
27,0.4074074074074074,6,11,0.001985725787609417
28,0.42857142857142855,6,12,0.002171952397271481
29,0.3793103448275862,2,11,0.0022023381143644514
30,0.4,25,12,0.0023955098073388963
31,0.3548387096774194,4,11,0.0024258955247020214
32,0.375,13,12,0.0026258107687531624
33,0.3939393939393939,70,13,0.002832274044992029
34,0.4117647058823529,48,14,0.003045095694727104
35,0.37142857142857144,43,13,0.003051343709032418
36,0.3888888888888889,42,14,0.0032703395079515694
37,0.40540540540540543,22,15,0.0034953311457077726
38,0.42105263157894735,84,16,0.0037261455185398124
39,0.4358974358974359,71,17,0.003962614555509891
40,0.45,20,18,0.004204518841357946
41,0.4634146341463415,59,19,0.004451749056696901
42,0.47619047619047616,49,20,0.004704208069511861
43,0.4418604651162791,2,19,0.004746120533826197
44,0.4318181818181818,100,19,0.004746120187963885
45,0.4,38,18,0.004764619484023313
46,0.41304347826086957,39,19,0.005022108425641026
47,0.425531914893617,98,20,0.00528448267619894
48,0.4375,21,21,0.005551602069515464
49,0.4489795918367347,6,22,0.0058233302976483225
50,0.46,17,23,0.006099534970083869
51,0.47058823529411764,11,24,0.0063775276772346555
52,0.4807692307692308,46,25,0.006662199819814786
53,0.49056603773584906,18,26,0.006950974006322986
54,0.5,73,27,0.007243732469122901
55,0.509090909090909,48,28,0.007540361262553203
56,0.5178571428571429,60,29,0.007840749432275319
57,0.5263157894736842,15,30,0.008144789351950602
58,0.5172413793103449,100,30,0.008144789097658619
59,0.5254237288135594,38,31,0.008452376019566856
60,0.5333333333333333,18,32,0.008763408375434564
61,0.5081967213114754,10,31,0.008769657935885234
62,0.5161290322580645,34,32,0.009084036999335214
63,0.5238095238095238,30,33,0.009401666764098158
64,0.53125,23,34,0.009722454122283864
65,0.5230769230769231,100,34,0.009722454058150184
66,0.5303030303030303,49,35,0.010039389618337762
67,0.5223880597014925,100,35,0.010039389556948164
68,0.5294117647058824,36,36,0.01036603585531978
69,0.5362318840579711,31,37,0.010695576573932572
70,0.5285714285714286,100,37,0.010695576467424242
71,0.5070422535211268,37,36,0.010737492802726517
72,0.5138888888888888,82,37,0.01106984441201746
73,0.5205479452054794,24,38,0.011404926541185597
74,0.527027027027027,31,39,0.011742660534333513
75,0.5333333333333333,49,40,0.01208297014563785
76,0.5394736842105263,21,41,0.012425781024283216
77,0.5454545454545454,35,42,0.012771021047524325
78,0.5512820512820513,16,43,0.0131186199804698
79,0.5569620253164557,100,44,0.013468509415089532
80,0.5625,8,45,0.013820623198526638
81,0.5679012345679012,56,46,0.014174896526425852
82,0.573170731707317,6,47,0.014531266705072843
83,0.5783132530120482,13,48,0.01488967254980212
84,0.5833333333333334,15,49,0.015250054651162725
85,0.5764705882352941,100,49,0.015250054589692684
86,0.5813953488372093,99,50,0.01559450158884037
87,0.5862068965517241,14,51,0.015958359799938617
88,0.5795454545454546,100,51,0.01595835962987693
89,0.5842696629213483,76,52,0.01632402882919167
90,0.5666666666666667,24,51,0.016377125821335978
91,0.5494505494505495,40,50,0.016407432576748527
92,0.5543478260869565,39,51,0.016774854283154082
93,0.5591397849462365,45,52,0.017140778010816926
94,0.5638297872340425,29,53,0.017511451413340238
95,0.5578947368421052,100,53,0.017511451604931824
96,0.5625,12,54,0.017883729639964183
97,0.5670103092783505,34,55,0.01825756409354743
98,0.5714285714285714,43,56,0.01863288984798511
99,0.5757575757575758,77,57,0.01900969803149502
100,0.58,33,58,0.01938364548706159
101,0.5841584158415841,7,59,0.01976311358165877
102,0.5686274509803921,6,58,0.01980484945816993
103,0.5728155339805825,24,59,0.020185645600383398
104,0.5769230769230769,57,60,0.020567735604937774
105,0.580952380952381,16,61,0.02095108025052833
106,0.5754716981132075,100,61,0.020951080195526117
107,0.5794392523364486,51,62,0.021334242967822176
108,0.5833333333333334,17,63,0.021719945071065904
109,0.5688073394495413,16,62,0.021773041656373483
110,0.5727272727272728,36,63,0.022159884005118584
111,0.5765765765765766,8,64,0.022547789502398212
112,0.5803571428571429,10,65,0.022935037086176727
113,0.584070796460177,52,66,0.02332504706749795
114,0.5877192982456141,45,67,0.023716059945102164
115,0.591304347826087,57,68,0.024064327758845174
116,0.5948275862068966,78,69,0.02445683543800618
117,0.5897435897435898,100,69,0.02445683521106874
118,0.5932203389830508,23,70,0.024850257898331434
119,0.5882352941176471,100,70,0.02485025730855998
120,0.5916666666666667,11,71,0.025244564573564627
121,0.5950413223140496,48,72,0.025639727080580585
122,0.5983606557377049,57,73,0.026032925952598943
123,0.6016260162601627,20,74,0.026376142141164766
124,0.6048387096774194,26,75,0.02677320780833249
125,0.608,46,76,0.027171025366167598
126,0.6031746031746031,100,76,0.027171025118759164
127,0.6062992125984252,23,77,0.02756956925394153
128,0.609375,8,78,0.027968814337163538
129,0.6046511627906976,100,78,0.027979509329298886
130,0.5923076923076923,48,77,0.028043455223277614
131,0.5954198473282443,41,78,0.02844356178608894
132,0.5984848484848485,72,79,0.02884432336204058
133,0.5939849624060151,100,79,0.02884432119449062
134,0.5970149253731343,92,80,0.029245711163866223
135,0.6,30,81,0.029647707210396043
136,0.6029411764705882,42,82,0.030050285404225465
137,0.6058394160583942,80,83,0.03045342379949963
138,0.6086956521739131,48,84,0.030857095818579074
139,0.6115107913669064,46,85,0.03126129326027425
140,0.6142857142857143,27,86,0.03166598694753581
141,0.6170212765957447,6,87,0.032071160505119746
142,0.6197183098591549,8,88,0.032476791936629716
143,0.6223776223776224,6,89,0.032882863475110026
144,0.625,6,90,0.03328935583544852
145,0.6137931034482759,4,89,0.03330736297613084
146,0.6164383561643836,6,90,0.033714247108325344
147,0.6190476190476191,8,91,0.03411400789157089
148,0.6216216216216216,6,92,0.03452154742479098
149,0.6241610738255033,8,93,0.03492902593145783
150,0.6266666666666667,6,94,0.03533724167608237
151,0.6291390728476821,6,95,0.03574577540708593
152,0.631578947368421,6,96,0.036154611262084274
153,0.6339869281045751,6,97,0.036563733732006345
154,0.6363636363636364,6,98,0.036973127651967065
155,0.6387096774193548,6,99,0.03738277819240474
156,0.6410256410256411,6,100,0.03779267085047449
157,0.643312101910828,8,101,0.03817297122167495
158,0.6455696202531646,7,102,0.038582948060769846
159,0.6477987421383647,8,103,0.03899312768348114
160,0.65,7,104,0.039403493913971174
161,0.6521739130434783,7,105,0.03981389399857612
162,0.654320987654321,8,106,0.040224450558152
163,0.656441717791411,7,107,0.04037744034379745
164,0.6463414634146342,7,106,0.04028344041316954
165,0.6363636363636364,2,105,0.04034732816754352
166,0.6385542168674698,6,106,0.040757346310836974
167,0.6407185628742516,6,107,0.04116752140119329
168,0.6428571428571429,6,108,0.041577841231394394
169,0.6449704142011834,8,109,0.04197308568586856
170,0.6470588235294118,8,110,0.042382376720597754
171,0.6491228070175439,6,111,0.04279291189737697
172,0.6511627906976745,7,112,0.0432033188166256
173,0.653179190751445,8,113,0.04361380177828776
174,0.6436781609195402,6,112,0.04361635514433831
175,0.6457142857142857,6,113,0.044027033076225776
176,0.6363636363636364,6,112,0.04407733189464964
177,0.6384180790960452,10,113,0.0443413010291265
178,0.6404494382022472,6,114,0.04475168511947266
179,0.6424581005586593,6,115,0.04516212775809456
180,0.6333333333333333,5,114,0.0451736300115441
181,0.6353591160220995,6,115,0.04558399628668701
182,0.6373626373626373,6,116,0.045994402605317855
183,0.6284153005464481,4,115,0.0460223831361249
184,0.6304347826086957,6,116,0.04643279313139256
185,0.6324324324324324,7,117,0.0465449265483398
186,0.6344086021505376,6,118,0.046954670942389684
187,0.6363636363636364,7,119,0.04736443962185049
188,0.6382978723404256,6,120,0.04777422349007534
189,0.6402116402116402,8,121,0.04818388582475853
190,0.6421052631578947,6,122,0.04859366994477798
191,0.643979057591623,7,123,0.049003441852409846
192,0.6458333333333334,6,124,0.04941319316479725
193,0.6476683937823834,6,125,0.049822915228499715
194,0.6494845360824743,6,126,0.05023259970310391
195,0.6512820512820513,6,127,0.05064223841066439
196,0.6530612244897959,6,128,0.051051823332091815
197,0.6548223350253807,9,129,0.05146130944258926
198,0.6565656565656566,6,130,0.051870762212781155
199,0.6582914572864321,8,131,0.05221350902684539
200,0.66,6,132,0.05262238788748236
201,0.6616915422885572,6,133,0.05303117925066339
202,0.6633663366336634,6,134,0.05343987598619318
203,0.6650246305418719,6,135,0.05384847109810087
204,0.6666666666666666,6,136,0.05425695772176689
205,0.6682926829268293,6,137,0.054665329121120314
206,0.6699029126213593,7,138,0.05507352929253219
207,0.6714975845410628,6,139,0.05548164915345396
208,0.6730769230769231,6,140,0.055889634322395215
209,0.6650717703349283,4,139,0.05594664757477521
210,0.6666666666666666,8,140,0.05635018453133285
211,0.6682464454976303,6,141,0.056757784123110465
212,0.660377358490566,4,140,0.05679404744748692
213,0.6525821596244131,2,139,0.05686821960916669
214,0.6542056074766355,7,140,0.057275608400983224
215,0.6558139534883721,7,141,0.057682778380038206
216,0.6574074074074074,6,142,0.05808984252617747
217,0.6589861751152074,6,143,0.05849673672485878
218,0.6605504587155964,7,144,0.058511036501263505
219,0.6621004566210046,6,145,0.058917420105623536
220,0.6636363636363637,6,146,0.059323634015103426
221,0.665158371040724,6,147,0.059729672547304914
222,0.6666666666666666,6,148,0.06013553012539183
223,0.6681614349775785,7,149,0.060147904231569196
224,0.6696428571428571,6,150,0.06055320963909899
225,0.6711111111111111,6,151,0.060958336669020334
226,0.672566371681416,6,152,0.06136327966131705
227,0.6740088105726872,7,153,0.06176792164335312
228,0.6666666666666666,5,152,0.06176049230132455
229,0.6593886462882096,4,151,0.06180457157201628
230,0.6608695652173913,6,152,0.062208960496623306
231,0.6623376623376623,6,153,0.06261315119962503
232,0.6637931034482759,8,154,0.06291301818941819
233,0.6566523605150214,4,153,0.0629763698998421
234,0.6495726495726496,6,152,0.06297605840499572
235,0.6510638297872341,6,153,0.06337921217195701
236,0.6440677966101694,5,152,0.06343271730746217
237,0.6455696202531646,6,153,0.06383559671536213
238,0.6470588235294118,6,154,0.06423826587743185
239,0.6485355648535565,6,155,0.0646407199372706
240,0.65,13,156,0.06465668524606885
241,0.6431535269709544,4,155,0.06472849302502877
