Episode,Avg Reward,Steps,Total Reward
1,-1.0,33,-1
2,-0.5,100,-1
3,-0.6666666666666666,25,-2
4,-0.75,12,-3
5,-0.8,33,-4
6,-0.8333333333333334,52,-5
7,-0.8571428571428571,25,-6
8,-0.875,49,-7
9,-0.7777777777777778,100,-7
10,-0.8,21,-8
11,-0.8181818181818182,94,-9
12,-0.8333333333333334,7,-10
13,-0.8461538461538461,30,-11
14,-0.8571428571428571,24,-12
15,-0.8666666666666667,29,-13
16,-0.875,8,-14
17,-0.8823529411764706,53,-15
18,-0.8888888888888888,61,-16
19,-0.8947368421052632,91,-17
20,-0.9,61,-18
21,-0.9047619047619048,21,-19
22,-0.9090909090909091,53,-20
23,-0.9130434782608695,83,-21
24,-0.9166666666666666,1,-22
25,-0.88,100,-22
26,-0.8846153846153846,19,-23
27,-0.8888888888888888,27,-24
28,-0.8928571428571429,10,-25
29,-0.896551724137931,11,-26
30,-0.8666666666666667,100,-26
31,-0.8387096774193549,100,-26
32,-0.8125,100,-26
33,-0.7878787878787878,100,-26
34,-0.7647058823529411,100,-26
35,-0.7714285714285715,99,-27
36,-0.75,100,-27
37,-0.7297297297297297,100,-27
38,-0.7105263157894737,100,-27
39,-0.6923076923076923,100,-27
40,-0.675,100,-27
41,-0.6585365853658537,100,-27
42,-0.6428571428571429,100,-27
43,-0.627906976744186,100,-27
44,-0.6136363636363636,100,-27
45,-0.6,100,-27
46,-0.5869565217391305,100,-27
47,-0.574468085106383,100,-27
48,-0.5625,100,-27
49,-0.5510204081632653,100,-27
50,-0.56,38,-28
51,-0.5490196078431373,100,-28
52,-0.5384615384615384,100,-28
53,-0.5283018867924528,100,-28
54,-0.5185185185185185,100,-28
55,-0.5272727272727272,60,-29
56,-0.5178571428571429,100,-29
57,-0.5087719298245614,100,-29
58,-0.5172413793103449,45,-30
59,-0.5084745762711864,100,-30
60,-0.5,100,-30
61,-0.5081967213114754,10,-31
62,-0.5,100,-31
63,-0.49206349206349204,100,-31
64,-0.484375,100,-31
65,-0.47692307692307695,100,-31
66,-0.4696969696969697,100,-31
67,-0.4626865671641791,100,-31
68,-0.45588235294117646,100,-31
69,-0.4492753623188406,100,-31
70,-0.44285714285714284,100,-31
71,-0.43661971830985913,100,-31
72,-0.4305555555555556,100,-31
73,-0.4246575342465753,100,-31
74,-0.4189189189189189,100,-31
75,-0.41333333333333333,100,-31
76,-0.42105263157894735,92,-32
77,-0.4155844155844156,100,-32
78,-0.4230769230769231,80,-33
79,-0.4177215189873418,100,-33
80,-0.4125,100,-33
81,-0.4074074074074074,100,-33
82,-0.4024390243902439,100,-33
83,-0.39759036144578314,100,-33
84,-0.40476190476190477,73,-34
85,-0.4117647058823529,1,-35
86,-0.4069767441860465,100,-35
87,-0.40229885057471265,100,-35
88,-0.3977272727272727,100,-35
89,-0.39325842696629215,100,-35
90,-0.4,86,-36
91,-0.3956043956043956,100,-36
92,-0.391304347826087,100,-36
93,-0.3870967741935484,100,-36
94,-0.3829787234042553,100,-36
95,-0.37894736842105264,100,-36
96,-0.3854166666666667,31,-37
97,-0.38144329896907214,100,-37
98,-0.3877551020408163,1,-38
99,-0.3838383838383838,100,-38
100,-0.38,100,-38
101,-0.37623762376237624,100,-38
